1	A bölcs tudását hozza
2	Adjatok hálát az Istennek
3	Adj új erőt, Urunk
326	Adjunk hálát mindnyájan
4	A fényben úszó hegytetőt
5	A Golgotán
6	Ahol ott a Jézus
216	Akárhogy is legyen
7	A jászolban
8	A jó pásztor nyájától
9	A Lélek előtt
10	Ameddig Jézus él
217	A mélységből kiáltok én
370	A mennyben otthonom
11	Amint vagyok
327	A mi szívünk téged óhajt
12	Amit szívünk esdve kér
218	A nagy mélységből szüntelen
219	A nagy világban csábít
13	A Szentlelket ne űzzed el
14	A tied vagyok
15	Az áldott orvos
16	Az egyháznak
220	Az éjbe hangok kelnek
221	Az én időm
17	Az írás széjjeltépve
399	Az Istenhez az én szómat
18	Az Istennek szent angyala
222	Azt az éltet vágyom élni
325	Az Urat minden nemzetek
223	Az Úr csodásan működik
19	Az Úr énnékem
20	Az Úr Jézus Krisztus
398	Az Úrnak irgalmát
224	Az Úr öröktől fogva
21	Az Úr szent Bárányára
22	Az Úr szeretete által
373	Az üdv
	
225	Áldás, dicsőség
328	Áldott az Úr!
329	Áll a szikla mindörökké
330	Árny borong a völgyben lenn
	
23	Bár bűn és kín gyötör
24	Bár jő az éj
25	Bár szent tüzed
26	Bár térhetnénk haza
331	Bátran előre!
226	Bátran, testvér
227	Beh régen vérezel
228	Benned bízni, Jézus
229	Bízom benned Uram, Jézus
343	Boldog madár, rá fészke vár
27	Boldog örömmel
28	Boldogság szép hazája
230	Bú, gond ekéje szánt
231	Bűnös lelkem hozzád siet
29	Bűnös vagyok
	
332	Csak az Úrnak
232	Csak vándorút az életem
333	Csak vidáman
30	Csak zengje, zengje
31	Csendes éj
233	Csendes légy, s az Úr vezet
32	Csodálva, imádva tekintek
33	Csöndes este
	
34	Dicsének teljes életem
392	Dícsérem az Urat
35	Dícsérje Jézust a világ
36	Dicső király
388	Dicső személyed
	
37	Egyetlen forrása
344	Egykor Dávid
371	Elbágyadt lelkeknek
38	Elég a kegyelmem
39	Eljő az Úr
40	Elnémul egyszer
234	Első tanuknak lelke
41	Engem szeret Jézusom
382	Eredj, szivem, vidulj
42	Erős vár a mi Istenünk
	
235	Ébredj, bizonyságtevő Lélek!
43	Édennek isteni völgye
236	Égi Atyám
44	Éjszaka van
45	Élted rövid
46	Énekeljetek új éneket
334	Énekeljünk
47	Én fiaim, jertek el
360	Én Jézusom, előttem állasz
362	Én szívem, rajta hát
237	Én zörgetek
48	Értem megfeszítve
	
49	Fáradtan, bűnbe veszve
238	Fel, Krisztus harcosa!
50	Fel, mert eljő az éjjel
51	Fogjad kezem
335	Forog a szerencse
52	Föl barátim
53	Föl, föl, szent küzdelemre
239	Fölkelt a szép ezüst hold
54	Föl, Krisztus vitézi!
55	Fönn a csillagok felett
	
348	Gondviselő édes Atyám
240	Góg s Magóg hada
56	Grönland jeges vidéki
57	Gyermekek, figyeljetek
58	Gyermekhad, zengd
	
241	Ha a keresztre néz szemem
242	Hadd énekeljek Néked, Isten
59	Ha földi munka
381	Hagyhad a jó Istenre
60	Ha Isten intő hangja
61	Ha lelkem az Úrban
62	Hallám, Jézus
243	Halld, az ég harangi zengnek
63	Halld meg a hívást
244	Hallelujah, dícsérjétek
245	Hallelujah, hallelujah!
64	Hallja ezt meg minden nép
246	Hallod, mi kopog
247	Ha szívem néha elszorul
65	Ha zúg az Úrnak lelke
66	Hinni taníts, Uram
67	Hisszük, meghallgat az Úr
248	Hitem benned
351	Hogyne dícsérném az Istent
68	Hogyha Jézus
249	Hogyha lábam megbotolna
69	Hogyha zúg
353	Hol várja a lelket
70	Hová csak Isten napja süt
250	Hozsánna a magasban!
71	Hozzám kiálts
72	Hozzám siess!
336	Hódolunk, Krisztusunk
251	Hű Jézusom kezébe
252	Hű pásztorom
253	Hű tanuim, menjetek szét
	
73	Így beszélnek
254	Imádkozók, imára fel
74	Imádkozzatok!
354	Imádom azt a nagy szerelmet
75	Ím béjöttünk
76	Íme, íme, itt jönnek
255	Ím, harcba száll Isten fia
77	Ím, ma az egész égbolt
78	Ím, messze távol
256	Ím, nagy Isten, most előtted
257	Isten, aki népedet
258	Isten, álld meg a magyart
79	Isten Báránya
394	Isten e világot
80	Isten dicsősége
349	Istennek szent Fia
363	Isten szeret, ezt ha értem
81	Isten szívén megpihenve
259	Isten testbe szállt szerelme
82	Isten velünk!
83	Itt az éltem
84	Itt az Isten köztünk
260	Itt állunk
261	Itt jövevény vagyok
262	Itt vagyok, oh uram
85	Itt van szívem
263	Itt vándorol a földön
	
86	Jajszót hallok én
264	Jehovah Úr!
87	Jelszavunk: előre!
88	Jer, dícsérjük Istent
89	Jertek el mind
90	Jézus engem
265	Jézus engem megtalált
91	Jézus, én bizodalmam
266	Jézus, fönn az égbe
92	Jézus hív nyájasan
93	Jézushoz ha térek
364	Jézus, Jézus, oh mi édes
94	Jézus, Jézus, oh mi szép
267	Jézus, jöjj le győzni végre
95	Jézus, ki a sírban valál
96	Jézus Krisztus, csak tenéked
268	Jézus Krisztus erre megy
269	Jézus légyen utadon tevéled
97	Jézus ölébe
270	Jézusról szól ma énekünk
98	Jézussal élve
99	Jézus szól
345	Jézus, terád egy gondolat
100	Jézus, vezesd gyermeked
101	Jobban tied, Uram
271	Jó Atyám, te
102	Jöjj az Úrhoz gyermekem
377	Jöjj be, oh mért állasz
357	Jöjj, királyom, Jézusom
390	Jöjj szent közelébe
272	Jövel, Jézus
273	Jövel, Lélek, jövel
337	Jövel, Szentlélek Isten
103	Jövel, Szentlélek
104	Jövel, Szentlélek
105	Judeában sok gyerek
	
106	Kegyes Jézus
107	Kelj útra
338	Keresztet Jézus hord csupán
274	Keresztyének, ébredjünk fel
275	Később érted meg ezt
108	Ki az Istenre dolgát hagyja 
109	Ki az, ki az, ki kopog?
110	Kicsiny Bethlehemben
339	Ki mindeneknek Atyja vagy
276	Kínos keresztfádon
385	Királyok királyának
111	Koronát, trónust
112	Kőszirt a pusztán
393	Krisztus a keresztfán
113	Krisztus feltámadt
395	Krisztus hogyha visszajő
114	Krisztus, ki vagy
277	Krisztusunk, Te úgy ígérted
115	Krisztus Urunknak
116	Küzködöm az élet árján
	
117	Lábaidhoz hullok
359	Lásd, Uram, leroskadok
118	Lelkem Megváltója, Jézus
350	Lelkem szent szerelmese
278	Leszállt a csendes estve
119	Légy áldva
380	Légy csendes szívvel
120	Légy éber
121	Lélek, akit bűne bánt
	
122	Magamba járom
123	Magasság, mélység
124	Maradj meg kegyelmeddel
279	Már a napnak vége
125	Már érik a búza
126	Már megvirrad
127	Megtörtént
280	Megváltómnak keresztjén
128	Mely minket egyesít
282	Menj elől, Urunk
281	Menjetek ezt elbeszélni
283	Mennyben lakó én Istenem!
129	Mennybéli felséges Isten
284	Mennyből jövök
130	Mentsd, aki elmerül
131	Mert a Jézusé vagyok
285	Messze napkeletről
367	Még élsz, atyáink szent hite
132	Még oly kicsiny vagyok
133	Mélyen meghajlok
286	Mért késel Jézus
355	Mért vesződöl, tépelődől
134	Mi édes a te neved
135	Míg Jézust nem ismertem
287	Mi gyorsan múlik el
136	Mi jó, hogy drága Jézusunk
137	Mikor még én kicsiny valék
288	Mi könnyű itt a földi élet
138	Mily drága nekünk
289	Minden e földön
290	Minden lépés
366	Mindig Te voltál Istenünk
358	Mindig ván, mi gyötri
139	Mindig velem
291	Mi tesz bűntől tisztává?
140	Mit Istenem kíván
340	Mi Urunk s édes Atyánk
292	Mivelünk jár, mivelünk él
141	Mondd, ott lellek
142	Mondjatok akármit
143	Most még sötét
144	Most, most még ifjú
374	Most nyugosznak az erdők
372	Munkára fel!
	
145	Nagy Istenem
146	Nagy vagy te, Isten
147	Nálad nélkül
387	Ne csüggedezz, te kis csapat
400	Ne jőjjön addig
148	Nem csábít földi kincs
149	Nem hagyjuk el
293	Nem láthat bár e földi szem
397	Nem látod-e, hogy csolnakod
294	Ne szóljatok kincsről
295	Néked éneklek
150	Néked szóljon a dal
386	Néma éjben, szolgaságban
151	Nincs elég olaj korsódban
347	Nincsen sehol a világon
152	Nyájas világ
	
153	Od'adtam életem
154	Oh Ábráhám Ura
155	Oh Betlehem kis városa
296	Oh csak levél!
297	Oh felséges Úr!
389	Oh forrongó, gazdag árja
298	Oh hadd legyek hű
301	Oh hadd szeresselek
299	Oh halld te zaklatott szív
300	Oh hála az Úrnak
156	Oh hogyha tudnád
157	Oh hogy volt idő
158	Oh Jehova, vezess minket
302	Oh jertek mind
159	Oh Jézus, drágább vagy
303	Oh Jézus, éltem fénye Te
304	Oh Jézus Krisztus, életem
160	Oh jőjjetek, kik megterheltettetek
379	Oh jőjjetek, örvendjetek
161	Oh Mesterünk
162	Oh mi hű barát
376	Oh miként fogadjalak
163	Oh mit tehet kicsiny kéz
164	Oh ne félj!
165	Oh nézd, ajtódnál
305	Oh te hű, te szent
166	Oly sok fájdalom van
167	Ott a messze földön
396	Ott kívül Úrrá lett
	
306	Örökélet reggele
168	Örvendezzetek egek
